"ts_stock","region","stock","year","catch","TAC","catch_by_TAC","DemersPelag","source"
"American plaice Southern Gulf of St. Lawrence","Canada east","American plaice Southern Gulf of St. Lawrence__full",1978,9030,10000,"0.90","demersal","Mike's data"
"American plaice Southern Gulf of St. Lawrence","Canada east","American plaice Southern Gulf of St. Lawrence__full",1979,10000,10000,"1.00","demersal","Mike's data"
"American plaice Southern Gulf of St. Lawrence","Canada east","American plaice Southern Gulf of St. Lawrence__full",1980,8290,10000,"0.83","demersal","Mike's data"
"American plaice Southern Gulf of St. Lawrence","Canada east","American plaice Southern Gulf of St. Lawrence__full",1981,7830,10000,"0.78","demersal","Mike's data"
"American plaice Southern Gulf of St. Lawrence","Canada east","American plaice Southern Gulf of St. Lawrence__full",1982,6540,10000,"0.65","demersal","Mike's data"
"American plaice Southern Gulf of St. Lawrence","Canada east","American plaice Southern Gulf of St. Lawrence__full",1983,6090,10000,"0.61","demersal","Mike's data"
"American plaice Southern Gulf of St. Lawrence","Canada east","American plaice Southern Gulf of St. Lawrence__full",1984,9600,10000,"0.96","demersal","Mike's data"
"American plaice Southern Gulf of St. Lawrence","Canada east","American plaice Southern Gulf of St. Lawrence__full",1985,9490,10000,"0.95","demersal","Mike's data"
"American plaice Southern Gulf of St. Lawrence","Canada east","American plaice Southern Gulf of St. Lawrence__full",1986,7410,10000,"0.74","demersal","Mike's data"
"American plaice Southern Gulf of St. Lawrence","Canada east","American plaice Southern Gulf of St. Lawrence__full",1987,8060,10000,"0.81","demersal","Mike's data"
"American plaice Southern Gulf of St. Lawrence","Canada east","American plaice Southern Gulf of St. Lawrence__full",1988,6990,10000,"0.70","demersal","Mike's data"
"American plaice Southern Gulf of St. Lawrence","Canada east","American plaice Southern Gulf of St. Lawrence__full",1989,5720,10000,"0.57","demersal","Mike's data"
"American plaice Southern Gulf of St. Lawrence","Canada east","American plaice Southern Gulf of St. Lawrence__full",1990,4910,10000,"0.49","demersal","Mike's data"
"American plaice Southern Gulf of St. Lawrence","Canada east","American plaice Southern Gulf of St. Lawrence__full",1991,5220,10000,"0.52","demersal","Mike's data"
"American plaice Southern Gulf of St. Lawrence","Canada east","American plaice Southern Gulf of St. Lawrence__full",1992,5200,10000,"0.52","demersal","Mike's data"
"American plaice Southern Gulf of St. Lawrence","Canada east","American plaice Southern Gulf of St. Lawrence__full",1993,1850,5000,"0.37","demersal","Mike's data"
"American plaice Southern Gulf of St. Lawrence","Canada east","American plaice Southern Gulf of St. Lawrence__full",1994,2420,5000,"0.48","demersal","Mike's data"
"American plaice Southern Gulf of St. Lawrence","Canada east","American plaice Southern Gulf of St. Lawrence__full",1995,2390,5000,"0.48","demersal","Mike's data"
"American plaice Southern Gulf of St. Lawrence","Canada east","American plaice Southern Gulf of St. Lawrence__full",1996,1410,2000,"0.71","demersal","Mike's data"
"American plaice Southern Gulf of St. Lawrence","Canada east","American plaice Southern Gulf of St. Lawrence__full",1997,1720,2500,"0.69","demersal","Mike's data"
"American plaice Southern Gulf of St. Lawrence","Canada east","American plaice Southern Gulf of St. Lawrence__full",1998,1170,1500,"0.78","demersal","Mike's data"
"American plaice Southern Gulf of St. Lawrence","Canada east","American plaice Southern Gulf of St. Lawrence__full",1999,1540,2000,"0.77","demersal","Mike's data"
"American plaice Southern Gulf of St. Lawrence","Canada east","American plaice Southern Gulf of St. Lawrence__full",2000,1420,2000,"0.71","demersal","Mike's data"
"American plaice Southern Gulf of St. Lawrence","Canada east","American plaice Southern Gulf of St. Lawrence__full",2001,1190,2000,"0.60","demersal","Mike's data"
"American plaice Southern Gulf of St. Lawrence","Canada east","American plaice Southern Gulf of St. Lawrence__full",2002,678,1000,"0.68","demersal","Mike's data"
"American plaice Southern Gulf of St. Lawrence","Canada east","American plaice Southern Gulf of St. Lawrence__full",2003,390,750,"0.52","demersal","Mike's data"
"American plaice Southern Gulf of St. Lawrence","Canada east","American plaice Southern Gulf of St. Lawrence__full",2004,400,750,"0.53","demersal","Mike's data"
"American plaice Southern Gulf of St. Lawrence","Canada east","American plaice Southern Gulf of St. Lawrence__full",2005,339,750,"0.45","demersal","Mike's data"
"American plaice Southern Gulf of St. Lawrence","Canada east","American plaice Southern Gulf of St. Lawrence__full",2006,474,750,"0.63","demersal","Mike's data"
"American plaice Southern Gulf of St. Lawrence","Canada east","American plaice Southern Gulf of St. Lawrence__full",2007,372,750,"0.50","demersal","Mike's data"
"American plaice Southern Gulf of St. Lawrence","Canada east","American plaice Southern Gulf of St. Lawrence__full",2008,171,500,"0.34","demersal","Mike's data"
"American plaice Southern Gulf of St. Lawrence","Canada east","American plaice Southern Gulf of St. Lawrence__full",2009,127,500,"0.25","demersal","Mike's data"
"American plaice Southern Gulf of St. Lawrence","Canada east","American plaice Southern Gulf of St. Lawrence__full",2010,146,500,"0.29","demersal","Mike's data"
"American plaice Southern Gulf of St. Lawrence","Canada east","American plaice Southern Gulf of St. Lawrence__full",2011,90,500,"0.18","demersal","Mike's data"
"Anchovy ICES VIII","Europe-ICES-EU","Anchovy ICES VIII_VIII_full",1987,15000,32000,"0.47","pelagic-neritic","Mike's data"
"Anchovy ICES VIII","Europe-ICES-EU","Anchovy ICES VIII_VIII_full",1988,16000,32000,"0.50","pelagic-neritic","Mike's data"
"Anchovy ICES VIII","Europe-ICES-EU","Anchovy ICES VIII_VIII_full",1989,11000,32000,"0.34","pelagic-neritic","Mike's data"
"Anchovy ICES VIII","Europe-ICES-EU","Anchovy ICES VIII_VIII_full",1990,34000,30000,"1.13","pelagic-neritic","Mike's data"
"Anchovy ICES VIII","Europe-ICES-EU","Anchovy ICES VIII_VIII_full",1991,20000,30000,"0.67","pelagic-neritic","Mike's data"
"Anchovy ICES VIII","Europe-ICES-EU","Anchovy ICES VIII_VIII_full",1992,38000,30000,"1.27","pelagic-neritic","Mike's data"
"Anchovy ICES VIII","Europe-ICES-EU","Anchovy ICES VIII_VIII_full",1993,40000,30000,"1.33","pelagic-neritic","Mike's data"
"Anchovy ICES VIII","Europe-ICES-EU","Anchovy ICES VIII_VIII_full",1994,35000,30000,"1.17","pelagic-neritic","Mike's data"
"Anchovy ICES VIII","Europe-ICES-EU","Anchovy ICES VIII_VIII_full",1995,30000,33000,"0.91","pelagic-neritic","Mike's data"
"Anchovy ICES VIII","Europe-ICES-EU","Anchovy ICES VIII_VIII_full",1996,34000,33000,"1.03","pelagic-neritic","Mike's data"
"Anchovy ICES VIII","Europe-ICES-EU","Anchovy ICES VIII_VIII_full",1997,22000,33000,"0.67","pelagic-neritic","Mike's data"
"Anchovy ICES VIII","Europe-ICES-EU","Anchovy ICES VIII_VIII_full",1998,32000,33000,"0.97","pelagic-neritic","Mike's data"
"Anchovy ICES VIII","Europe-ICES-EU","Anchovy ICES VIII_VIII_full",1999,27000,33000,"0.82","pelagic-neritic","Mike's data"
"Anchovy ICES VIII","Europe-ICES-EU","Anchovy ICES VIII_VIII_full",2000,37000,33000,"1.12","pelagic-neritic","Mike's data"
"Anchovy ICES VIII","Europe-ICES-EU","Anchovy ICES VIII_VIII_full",2001,40000,33000,"1.21","pelagic-neritic","Mike's data"
"Anchovy ICES VIII","Europe-ICES-EU","Anchovy ICES VIII_VIII_full",2002,18000,33000,"0.55","pelagic-neritic","Mike's data"
"Anchovy ICES VIII","Europe-ICES-EU","Anchovy ICES VIII_VIII_full",2003,11000,33000,"0.33","pelagic-neritic","Mike's data"
"Anchovy ICES VIII","Europe-ICES-EU","Anchovy ICES VIII_VIII_full",2004,16000,33000,"0.48","pelagic-neritic","Mike's data"
"Anchovy ICES VIII","Europe-ICES-EU","Anchovy ICES VIII_VIII_full",2005,1000,30000,"0.03","pelagic-neritic","Mike's data"
"Anchovy ICES VIII","Europe-ICES-EU","Anchovy ICES VIII_VIII_full",2006,2000,5000,"0.40","pelagic-neritic","Mike's data"
"Anchovy ICES VIII","Europe-ICES-EU","Anchovy ICES VIII_VIII_full",2010,21200,22600,"0.94","pelagic-neritic","Mike's data"
"Anchovy ICES VIII","Europe-ICES-EU","Anchovy ICES VIII_VIII_full",2011,12200,29700,"0.41","pelagic-neritic","Mike's data"
"Anchovy ICES VIII","Europe-ICES-EU","Anchovy ICES VIII_VIII_full",2012,16700,20700,"0.81","pelagic-neritic","Mike's data"
"Anchovy ICES VIII","Europe-ICES-EU","Anchovy ICES VIII_VIII_full",2013,17500,17100,"1.02","pelagic-neritic","Mike's data"
"Anchovy ICES VIII","Europe-ICES-EU","Anchovy ICES VIII_VIII_full",2014,5800,20100,"0.29","pelagic-neritic","Mike's data"
